City,Month,Average high in °F,Average low in °F,Precipitation in inch
Choteau,1,38,13,0.2
Choteau,2,40,15,0.24
Choteau,3,47,21,0.43
Choteau,4,56,28,0.91
Choteau,5,65,37,1.81
Choteau,6,73,44,2.36
Choteau,7,82,48,1.18
Choteau,8,81,47,1.26
Choteau,9,71,39,1.14
Choteau,10,59,31,0.51
Choteau,11,44,21,0.28
Choteau,12,36,13,0.24
